First Name,Last Name,Email,Country,Application Date,Yoe,Seniority,Technology,Code Challenge Score,Technical Interview
Kevin,Butler,kingram@hotmail.com,Ecuador,2024-06-02,6.0,Mid-Level,Social Media Community Management,1,3.0
Phillip,Chavez,austin66@gmail.com,Germany,2021-04-17,13.0,Senior,Data Engineer,1,1.0
Sabrina,Hicks,teresa53@gmail.com,Argentina,2022-07-25,10.0,Senior,Mulesoft,100,2.0
Deanna,Gonzalez,smiles@yahoo.com,UK,2021-06-13,20.0,,Adobe Experience Manager,2,6.0
Nicholas,Wilson,leefaulkner@gmail.com,Canada,2025-12-30,15.0,Intern,Development - CMS Backend,6,0.0
Thomas,Zavala,toddtaylor@yahoo.com,France,2024-09-06,5.0,Manager,Python Developer,0,6.0
Donna,Thompson,melissa11@hotmail.com,UK,2022-07-15,99.0,Junior,Mulesoft,1,9.0
Barbara,Mack,halljuan@gmail.com,India,2024-06-08,19.0,Trainee,QA Manual,10,9.0
Sara,Williams,lcraig@yahoo.com,Spain,2025-08-14,15.0,Intern,Sales,0,6.0
Kimberly,Peterson,guerrerocarrie@hotmail.com,Mexico,2021-09-19,-5.0,Mid-Level,Adobe Experience Manager,8,9.0
Alicia,Hernandez,tthompson@yahoo.com,France,2021-03-01,16.0,,Java Backend,9,9.0
David,Day,stevensheather@yahoo.com,Brazil,2024-09-26,4.0,Lead,Social Media Community Management,8,5.0
Mario,Ross,robert15@hotmail.com,Canada,2022-08-17,12.0,Mid-Level,Python Developer,2,1.0
Stephanie,Morgan,sandovaljames@yahoo.com,Spain,2021-08-06,7.0,Mid-Level,Client Success,2,0.0
Michael,Mills,sheriterrell@yahoo.com,Canada,2021-05-28,4.0,Senior,Data Engineer,0,2.0
Christina,Hendrix,sara81@yahoo.com,UK,2025-01-02,11.0,Manager,Social Media Community Management,4,8.0
Richard,Scott,colinwinters@gmail.com,Germany,2022-10-21,8.0,Junior,React Frontend,2,9.0
Brady,Williams,david14@yahoo.com,USA,2021-06-28,2.0,Intern,QA Manual,1,4.0
Melissa,Medina,jenna82@yahoo.com,Argentina,2024-04-13,2.0,Senior,Java Backend,2,4.0
Erik,Howard,trevor98@hotmail.com,Colombia,2024-05-31,0.0,Mid-Level,React Frontend,7,9.0
Colin,Kelly,matthew52@hotmail.com,Brazil,2021-09-09,17.0,,Client Success,7,
Daniel,Jensen,karensmith@hotmail.com,Brazil,2024-10-21,11.0,Lead,Java Backend,0,3.0
Sarah,Diaz,qhunt@gmail.com,Spain,2025-12-04,8.0,Mid-Level,Social Media Community Management,1,3.0
Thomas,Silva,daniellemacias@gmail.com,France,2024-04-12,8.0,Lead,Client Success,0,6.0
Kathleen,Ruiz,charlescollins@hotmail.com,Australia,2024-02-19,17.0,Senior,QA Manual,7,10.0
Tina,Scott,craigdeleon@hotmail.com,Spain,2021-05-30,17.0,,Development - CMS Backend,0,9.0
Lindsey,Sanchez,briangamble@yahoo.com,Mexico,2023-05-27,6.0,Junior,DevOps,5,1.0
Jessica,Obrien,santiagochristian@yahoo.com,Australia,2024-07-03,3.0,Lead,Python Developer,9,6.0
Joel,Reed,ellen12@yahoo.com,Ecuador,2025-10-12,12.0,Mid-Level,Social Media Community Management,10,3.0
Rachel,Johnson,leslie65@hotmail.com,Argentina,2021-09-10,,Intern,Adobe Experience Manager,100,5.0
Gordon,Hinton,bfrederick@yahoo.com,Colombia,2024-05-15,1.0,Manager,Development - CMS Backend,7,0.0
Patricia,Phillips,jeffrey36@gmail.com,Argentina,2024-08-21,13.0,Mid-Level,React Frontend,6,6.0
Katelyn,Zimmerman,ericthompson@yahoo.com,Australia,2023-12-01,2.0,Lead,Development - CMS Backend,7,2.0
Robert,Barnett,jimfarmer@hotmail.com,Germany,2025-10-26,4.0,Lead,Mulesoft,7,8.0
Caleb,Beck,christopher43@gmail.com,USA,2026-01-17,13.0,Lead,QA Manual,9,4.0
Cheryl,Camacho,davidgonzalez@hotmail.com,India,2021-09-19,2.0,Manager,Mulesoft,2,5.0
Danny,Bush,,Brazil,2022-03-27,6.0,Lead,Sales,1,9.0
Melanie,Lyons,garmstrong@hotmail.com,Argentina,2025-08-02,17.0,Lead,Java Backend,3,5.0
Charles,Dennis,shawn85@hotmail.com,USA,2025-01-11,12.0,Trainee,DevOps,4,6.0
Kathryn,Norton,andersonwilliam@gmail.com,Australia,2026-02-08,9.0,Trainee,Adobe Experience Manager,1,2.0
Catherine,Fischer,kevin63@hotmail.com,India,2022-09-18,12.0,Trainee,Social Media Community Management,10,10.0
Mary,Smith,isilva@gmail.com,Mexico,2021-05-30,15.0,Intern,Data Engineer,7,0.0
Sandra,Watson,david76@yahoo.com,Spain,2022-09-28,8.0,Mid-Level,Adobe Experience Manager,7,0.0
Manuel,Flores,bradleyflores@hotmail.com,Canada,2025-01-15,1.0,Mid-Level,Mulesoft,3,6.0
Holly,Nelson,ogarcia@hotmail.com,Australia,2025-12-25,4.0,Junior,DevOps,4,10.0
Nicholas,Morrison,aaron67@hotmail.com,Canada,2026-01-15,16.0,Lead,Adobe Experience Manager,10,9.0
Vanessa,White,brownrobert@yahoo.com,Spain,2023-09-20,3.0,Junior,Python Developer,4,1.0
Audrey,Fox,grantlane@gmail.com,India,2021-12-13,16.0,Senior,QA Manual,4,6.0
James,Jones,ayang@gmail.com,Colombia,2025-05-25,8.0,Intern,React Frontend,8,7.0
Johnny,Garcia,asmith@gmail.com,Ecuador,2022-05-08,19.0,,Adobe Experience Manager,8,0.0
Samuel,Chavez,brooke97@gmail.com,Germany,2024-07-10,1.0,Senior,Data Engineer,10,4.0
Justin,Terry,hollycole@hotmail.com,Ecuador,2022-03-23,17.0,Lead,Mulesoft,100,9.0
James,Castaneda,jessicabass@hotmail.com,Colombia,2025-09-29,20.0,Trainee,Sales,0,1.0
Fernando,Hickman,gclark@hotmail.com,Colombia,2026-02-22,10.0,Manager,QA Manual,7,2.0
Lisa,Silva,jwhite@yahoo.com,Mexico,2023-06-07,12.0,Lead,Social Media Community Management,10,4.0
Lindsey,Mckee,judyjohnson@yahoo.com,Mexico,2023-01-07,7.0,Manager,Java Backend,0,9.0
James,Blankenship,jamesamber@gmail.com,Colombia,2023-07-24,0.0,Manager,Social Media Community Management,6,4.0
Brandi,White,ecarpenter@hotmail.com,India,2023-11-06,16.0,Junior,Python Developer,3,1.0
Crystal,Palmer,shawn79@yahoo.com,UK,2025-11-10,11.0,Senior,DevOps,0,3.0
Elizabeth,Taylor,allenfuller@hotmail.com,UK,2025-03-05,3.0,Intern,Mulesoft,3,6.0
James,Reid,flee@yahoo.com,Colombia,2021-11-16,20.0,Lead,Social Media Community Management,6,5.0
Lisa,Rogers,chelsea45@gmail.com,Mexico,2022-09-18,12.0,Mid-Level,Java Backend,7,2.0
Patricia,Mason,david30@hotmail.com,Argentina,2022-12-14,8.0,Senior,Python Developer,100,3.0
Michael,Stevens,jonathan68@yahoo.com,Canada,2024-04-12,6.0,Senior,DevOps,8,6.0
Ricky,Marks,todd69@hotmail.com,Germany,2022-09-21,4.0,Manager,Development - CMS Backend,4,
Amy,Moore,jordanjoseph@yahoo.com,India,2021-11-25,4.0,Junior,Client Success,10,0.0
Charles,Clements,rochajustin@yahoo.com,USA,2021-08-08,16.0,Manager,Sales,7,7.0
Jacob,Meadows,,Colombia,2024-03-08,8.0,Manager,React Frontend,1,7.0
Jessica,Wu,katherinesmith@hotmail.com,Australia,2023-07-31,5.0,Manager,Java Backend,1,2.0
Rhonda,Petersen,stacie95@gmail.com,Argentina,2023-01-04,18.0,Trainee,Development - CMS Backend,3,5.0
Dawn,Jenkins,hernandezrobert@yahoo.com,UK,2025-10-15,15.0,Mid-Level,Social Media Community Management,3,10.0
Tyler,Robinson,davisalicia@gmail.com,France,2023-10-03,20.0,Junior,React Frontend,2,1.0
Marisa,Phelps,oscarmitchell@hotmail.com,Mexico,2024-02-13,1.0,Trainee,Social Media Community Management,4,7.0
Ashley,Gilbert,johnwright@gmail.com,India,2021-09-03,9.0,Lead,Data Engineer,1,10.0
Thomas,Flores,gregory92@yahoo.com,France,2025-12-09,15.0,Mid-Level,DevOps,0,10.0
Michael,Lucas,hscott@gmail.com,Canada,2025-12-25,4.0,Lead,Python Developer,3,7.0
Christine,Johnson,ksanchez@yahoo.com,UK,2025-02-16,14.0,Intern,Development - CMS Backend,5,2.0
Angelica,Sheppard,robertford@hotmail.com,India,2025-09-07,,Manager,Adobe Experience Manager,5,5.0
Devin,Berg,carla34@hotmail.com,Brazil,2023-03-20,12.0,Manager,React Frontend,1,10.0
Carlos,Compton,william26@gmail.com,USA,2021-05-06,,Manager,Python Developer,5,0.0
Ronald,Schmidt,nelsonmitchell@yahoo.com,Germany,2022-06-24,14.0,Senior,Adobe Experience Manager,3,3.0
Nicholas,Craig,rebecca49@gmail.com,Canada,2023-07-28,13.0,Lead,Sales,9,8.0
Chad,Mckinney,fcole@yahoo.com,USA,2024-11-26,7.0,Lead,Sales,0,6.0
Christian,Jones,morrisonhenry@yahoo.com,Brazil,2025-04-17,10.0,Intern,Data Engineer,0,3.0
Kimberly,Hamilton,melissaleonard@hotmail.com,Mexico,2024-02-26,17.0,Senior,Python Developer,1,10.0
Kenneth,Payne,adamhurst@yahoo.com,Ecuador,2023-09-08,3.0,Senior,Sales,3,2.0
David,Decker,veronicabenson@yahoo.com,Brazil,2021-11-26,9.0,Trainee,Adobe Experience Manager,7,9.0
Jerry,Hunter,jessica52@hotmail.com,Colombia,2022-12-22,0.0,Senior,DevOps,2,7.0
Carolyn,Hull,usnyder@yahoo.com,India,2024-12-04,4.0,Manager,Python Developer,10,10.0
Mark,Smith,vwilliams@gmail.com,Canada,2023-07-02,12.0,Intern,QA Manual,4,7.0
Jeffrey,Griffith,johnsonchristine@yahoo.com,Colombia,2025-01-10,0.0,Trainee,Mulesoft,2,5.0
Shelia,Rogers,isexton@gmail.com,Spain,2023-06-18,7.0,Mid-Level,Mulesoft,7,6.0
Sandra,Copeland,kristyrowland@hotmail.com,Argentina,2024-08-26,2.0,Trainee,Adobe Experience Manager,3,1.0
John,Blake,james77@yahoo.com,Ecuador,2026-02-22,2.0,Trainee,Adobe Experience Manager,10,2.0
Jacqueline,Bailey,lawsonlauren@hotmail.com,Australia,2023-09-08,6.0,Mid-Level,Social Media Community Management,7,3.0
Carlos,Martin,theresa94@gmail.com,USA,2024-05-11,3.0,Junior,DevOps,7,5.0
Monica,Martinez,erik97@gmail.com,Argentina,2025-09-13,2.0,Intern,Python Developer,8,1.0
Tammy,Browning,jeffrey04@hotmail.com,Spain,2025-02-19,14.0,Manager,QA Manual,1,2.0
Charles,Garza,mccoychristopher@yahoo.com,USA,2024-08-19,7.0,Lead,Client Success,10,7.0
Barbara,Hutchinson,phyllislittle@hotmail.com,India,2022-08-27,2.0,Manager,Social Media Community Management,9,2.0
Melissa,James,emily72@gmail.com,Argentina,2023-11-26,6.0,Mid-Level,Social Media Community Management,6,9.0
Sarah,Sanchez,chad71@gmail.com,Spain,2024-08-16,17.0,Junior,Client Success,9,
Vincent,Garcia,dbailey@gmail.com,France,2024-03-10,10.0,Intern,Mulesoft,0,6.0
Reginald,Miller,jramirez@yahoo.com,Germany,2022-10-02,10.0,Intern,DevOps,3,8.0
Brian,Good,wjenkins@yahoo.com,USA,2022-11-03,16.0,Manager,Java Backend,3,5.0
Heidi,Bennett,sherrynguyen@hotmail.com,Australia,2023-06-11,5.0,Mid-Level,Sales,3,4.0
Daniel,Poole,ioconnor@yahoo.com,Brazil,2022-11-27,7.0,Trainee,Social Media Community Management,6,1.0
Thomas,Massey,zacharymarshall@gmail.com,France,2023-10-27,0.0,Trainee,Social Media Community Management,4,10.0
Samantha,Price,collinsryan@hotmail.com,Argentina,2021-05-31,9.0,Mid-Level,Data Engineer,4,0.0
Jose,Macdonald,ischmidt@hotmail.com,Ecuador,2025-12-04,18.0,Manager,Social Media Community Management,2,3.0
Anthony,Simmons,bhanna@yahoo.com,USA,2022-08-25,2.0,Mid-Level,Development - CMS Backend,9,6.0
Matthew,Walker,charleslucas@gmail.com,Canada,2025-09-25,3.0,Junior,Client Success,4,2.0
Jose,Williams,benjaminward@gmail.com,Ecuador,2024-05-13,,Intern,Client Success,4,4.0
Matthew,Frazier,singhjames@gmail.com,Canada,2022-03-26,14.0,Lead,Client Success,7,7.0
Kathy,Hoover,bethbartlett@hotmail.com,Australia,2022-03-23,0.0,Trainee,QA Manual,10,1.0
Donald,Hess,stacycarter@yahoo.com,Brazil,2024-04-26,,Trainee,Social Media Community Management,1,8.0
Amy,Harris,jacqueline49@yahoo.com,India,2021-12-20,10.0,Junior,Mulesoft,7,4.0
Jessica,Carpenter,samantha50@hotmail.com,Australia,2024-01-04,18.0,Lead,DevOps,3,4.0
Sandra,Brennan,jordanballard@yahoo.com,Spain,2023-11-18,12.0,Manager,Social Media Community Management,8,2.0
Elizabeth,Miller,fsmith@gmail.com,UK,2023-11-22,15.0,Intern,Social Media Community Management,7,1.0
Natalie,Sanders,charleslopez@yahoo.com,Argentina,2021-03-02,3.0,Mid-Level,Development - CMS Backend,4,8.0
Joe,Phillips,fferguson@hotmail.com,Ecuador,2022-01-29,0.0,Mid-Level,Python Developer,4,10.0
Charles,Ellis,julieconner@hotmail.com,USA,2024-07-31,19.0,Senior,Mulesoft,8,3.0
Stacy,Huang,rpowell@hotmail.com,Spain,2023-06-08,12.0,Manager,Client Success,4,4.0
Rebecca,Diaz,richardwilliams@hotmail.com,Argentina,2021-05-09,,Mid-Level,Data Engineer,8,2.0
Jacqueline,Lucero,william25@gmail.com,Australia,2022-01-13,-5.0,Manager,Development - CMS Backend,5,5.0
Kathy,Rivera,adamsalicia@hotmail.com,Australia,2024-02-19,4.0,Mid-Level,DevOps,10,4.0
Austin,Powell,harriscatherine@gmail.com,USA,2023-11-24,13.0,Mid-Level,DevOps,10,2.0
Tina,Mitchell,harrywhitehead@gmail.com,Spain,2021-07-08,13.0,Mid-Level,DevOps,0,9.0
Stephanie,Davis,timothysmith@yahoo.com,Spain,2021-09-12,7.0,Intern,Client Success,10,0.0
Carly,Huynh,bwerner@gmail.com,India,2025-03-04,3.0,Manager,Social Media Community Management,7,
Cheyenne,Daugherty,nicholas68@yahoo.com,India,2022-01-12,6.0,Manager,Java Backend,0,10.0
Christopher,Stout,qmcpherson@yahoo.com,Brazil,2022-10-18,19.0,Manager,Data Engineer,1,2.0
Andrea,Bright,travisbaker@yahoo.com,India,2025-11-02,18.0,Manager,Adobe Experience Manager,5,2.0
Stacey,Peterson,jennifermorrison@gmail.com,Spain,2025-09-22,14.0,Mid-Level,Java Backend,4,4.0
Joseph,Friedman,onguyen@gmail.com,Ecuador,2026-02-17,3.0,Manager,React Frontend,1,8.0
Bobby,Thomas,tfrederick@yahoo.com,USA,2024-06-27,18.0,Junior,Mulesoft,5,3.0
Austin,Gordon,michael56@hotmail.com,USA,2022-06-28,8.0,Senior,Sales,100,1.0
William,Bowen,juancummings@yahoo.com,France,2024-05-28,20.0,Trainee,QA Manual,2,0.0
Debra,Flowers,iscott@hotmail.com,UK,2025-03-11,12.0,Trainee,Mulesoft,10,6.0
Ryan,Reyes,sanchezderek@gmail.com,Germany,2021-07-07,13.0,Mid-Level,Sales,7,8.0
Kevin,Hernandez,williamsmichael@gmail.com,Ecuador,2024-09-21,,Junior,Development - CMS Backend,3,5.0
Melissa,Fischer,ramirezheather@hotmail.com,Argentina,2025-12-18,9.0,Trainee,Social Media Community Management,9,8.0
Teresa,Berg,elizabethbarrett@yahoo.com,Spain,2022-09-25,15.0,Manager,Python Developer,8,3.0
Andrew,Green,vjackson@hotmail.com,USA,2021-10-31,4.0,Junior,React Frontend,6,5.0
Brian,Garcia,alexandertony@gmail.com,USA,2022-11-25,5.0,Intern,Java Backend,2,1.0
Kim,Long,vroy@yahoo.com,Mexico,2024-04-19,1.0,Mid-Level,Data Engineer,4,10.0
Lisa,Aguirre,,Mexico,2023-03-30,12.0,Trainee,Adobe Experience Manager,8,10.0
Amanda,Eaton,elizabethsmith@yahoo.com,France,2021-03-17,12.0,,Client Success,8,9.0
Michelle,Knapp,ashley84@yahoo.com,Argentina,2022-02-10,18.0,Manager,DevOps,7,4.0
Evelyn,Cox,christopher84@yahoo.com,UK,2025-05-28,17.0,Mid-Level,Python Developer,7,6.0
Joann,Mcdaniel,matthewyoung@gmail.com,Australia,2021-04-10,18.0,Lead,Development - CMS Backend,8,5.0
Angela,Potter,bryantcharles@hotmail.com,India,2025-06-29,0.0,Trainee,Data Engineer,4,0.0
Brett,Winters,jaimemitchell@gmail.com,USA,2025-09-28,,Manager,Data Engineer,10,2.0
Katie,Morales,shawnnicholson@gmail.com,Australia,2022-07-22,15.0,Mid-Level,Adobe Experience Manager,8,4.0
Heather,Smith,summer73@yahoo.com,Australia,2021-06-28,1.0,Intern,Development - CMS Backend,5,8.0
Russell,Lewis,egregory@yahoo.com,Germany,2025-09-19,7.0,Junior,Mulesoft,5,0.0
Ronald,Reyes,matthewhoover@hotmail.com,Germany,2025-05-14,5.0,Mid-Level,Adobe Experience Manager,10,9.0
Devin,Peterson,wademichelle@yahoo.com,Brazil,2021-11-28,15.0,Mid-Level,DevOps,9,8.0
Samuel,Myers,codysanchez@yahoo.com,Germany,2025-10-13,10.0,Mid-Level,Adobe Experience Manager,5,
Penny,West,tcollins@hotmail.com,Argentina,2021-12-30,16.0,Senior,Client Success,6,1.0
Toni,Miller,christinawilkins@yahoo.com,Spain,2025-11-12,18.0,Intern,Java Backend,100,3.0
Michael,Henderson,hillwilliam@hotmail.com,Canada,2023-08-17,10.0,Mid-Level,Java Backend,2,5.0
James,Colon,autumn40@yahoo.com,Colombia,2024-04-28,7.0,Trainee,Sales,5,0.0
Samuel,Stevens,catherinewhite@yahoo.com,Germany,2024-12-18,3.0,Senior,Mulesoft,9,6.0
Brian,Price,fisherrachael@yahoo.com,USA,2023-08-22,10.0,Mid-Level,Development - CMS Backend,4,8.0
Jesse,Perez,weberlaura@hotmail.com,Ecuador,2023-01-04,99.0,Junior,Adobe Experience Manager,3,8.0
Brianna,Mcclure,troy66@yahoo.com,India,2024-01-07,8.0,Manager,Data Engineer,7,8.0
Jeremy,White,,Colombia,2022-04-15,1.0,Junior,Sales,2,
Julie,Snow,bradhays@gmail.com,Australia,2025-06-22,15.0,Manager,React Frontend,1,1.0
Pamela,Day,maria04@hotmail.com,Argentina,2022-01-24,5.0,Lead,Java Backend,3,0.0
Laura,Hickman,juan77@hotmail.com,Mexico,2023-04-19,20.0,Manager,Client Success,2,9.0
Ashley,Perez,virginiaperez@hotmail.com,India,2024-08-18,20.0,,Python Developer,6,1.0
Vicki,Campbell,christopher35@yahoo.com,Spain,2023-07-03,18.0,Junior,Sales,3,2.0
Alexis,Henderson,mgallegos@yahoo.com,USA,2025-09-04,7.0,Mid-Level,DevOps,9,1.0
Jennifer,Lowery,thomascarlson@hotmail.com,Australia,2026-01-25,13.0,Manager,QA Manual,8,4.0
Lisa,Gordon,markcooper@hotmail.com,Mexico,2023-02-01,15.0,,Python Developer,10,3.0
Chase,Stewart,joseph46@gmail.com,USA,2021-11-04,11.0,Mid-Level,Social Media Community Management,4,
David,Cooper,jowilliams@yahoo.com,Brazil,2021-06-09,4.0,Mid-Level,Development - CMS Backend,2,
Henry,Lopez,john43@gmail.com,Colombia,2023-07-27,,Junior,Sales,1,6.0
Bradley,Rose,morrisjessica@hotmail.com,USA,2024-02-21,17.0,Senior,Mulesoft,5,4.0
Michael,Kidd,lperkins@gmail.com,Canada,2024-08-15,,Manager,Mulesoft,5,9.0
Diana,George,charlesvictoria@hotmail.com,UK,2021-02-25,1.0,Lead,Development - CMS Backend,0,3.0
John,Mitchell,frankosborne@gmail.com,Ecuador,2021-03-02,19.0,Junior,QA Manual,6,7.0
Kelly,West,bbrown@hotmail.com,Ecuador,2025-03-29,11.0,Senior,DevOps,100,3.0
Catherine,Roberts,davenportkathleen@hotmail.com,India,2021-12-13,1.0,Mid-Level,Adobe Experience Manager,6,4.0
Timothy,Porter,tbarnes@gmail.com,France,2025-06-24,9.0,Senior,Adobe Experience Manager,3,7.0
David,Lewis,collinskeith@yahoo.com,Brazil,2023-10-10,0.0,Junior,Mulesoft,4,2.0
Chase,Lyons,jenniferfisher@gmail.com,USA,2024-12-26,,Lead,Sales,6,6.0
John,Perry,josephstanton@gmail.com,Ecuador,2023-06-02,11.0,Mid-Level,Sales,5,0.0
Amy,Shepard,alexander51@gmail.com,India,2022-05-04,8.0,Manager,React Frontend,0,1.0
Troy,Wilson,amberrubio@gmail.com,France,2023-06-09,3.0,Intern,DevOps,0,1.0
Jill,Sosa,pedrodunn@yahoo.com,Australia,2025-03-02,8.0,Manager,Social Media Community Management,1,10.0
Michael,Fry,walkeramber@gmail.com,Canada,2021-10-24,5.0,Manager,Social Media Community Management,10,4.0
Robyn,Hahn,emily28@hotmail.com,Argentina,2022-10-03,0.0,Manager,QA Manual,10,1.0
Jeffrey,Woods,sheltonroger@hotmail.com,Colombia,2024-03-11,9.0,Senior,Development - CMS Backend,2,3.0
Jennifer,Barton,gregory06@gmail.com,Australia,2024-07-20,13.0,,Data Engineer,0,0.0
Shelly,Williams,cameron77@yahoo.com,Spain,2023-06-24,17.0,Intern,Python Developer,9,5.0
Kimberly,Lewis,pbrown@hotmail.com,Mexico,2025-10-01,5.0,Junior,Social Media Community Management,1,9.0
Kelly,Francis,cknight@yahoo.com,Ecuador,2022-10-03,17.0,Trainee,QA Manual,1,0.0
Desiree,Cook,robertramirez@yahoo.com,UK,2025-10-07,19.0,Mid-Level,Mulesoft,6,1.0
Alison,Harris,omay@hotmail.com,France,2024-02-21,15.0,Junior,Sales,10,3.0
Joseph,Galvan,zcollins@gmail.com,Ecuador,2022-04-13,14.0,Manager,QA Manual,5,3.0
Heidi,Franco,sbuchanan@hotmail.com,Australia,2026-01-19,15.0,Trainee,Sales,8,8.0
Wesley,Chan,mauricemcgrath@yahoo.com,France,2024-08-29,7.0,Trainee,Client Success,9,4.0
Brian,Garcia,walkerkevin@gmail.com,USA,2023-09-14,12.0,Intern,Adobe Experience Manager,4,9.0
Rachel,Chambers,whiteheadlisa@gmail.com,Argentina,2021-05-28,10.0,Lead,Mulesoft,2,3.0
Janice,Aguirre,martinezjennifer@hotmail.com,Australia,2024-07-01,6.0,Trainee,Java Backend,0,4.0
Christy,Alvarado,aaustin@gmail.com,UK,2023-04-12,16.0,Lead,Social Media Community Management,0,6.0
Joshua,Knapp,johnsonrachael@gmail.com,Ecuador,2023-08-07,17.0,Manager,Social Media Community Management,1,
James,Carr,williamlopez@hotmail.com,Colombia,2022-08-10,18.0,Lead,Social Media Community Management,10,8.0
Derrick,Tanner,shermanaustin@hotmail.com,Brazil,2022-03-03,12.0,Manager,Data Engineer,10,0.0
Theresa,Burton,tbrady@hotmail.com,Spain,2023-05-08,14.0,Lead,Java Backend,2,3.0
Jerry,Walsh,jimenezzachary@hotmail.com,Colombia,2024-09-11,0.0,Lead,Sales,10,3.0
Judy,Burton,sarah95@gmail.com,Australia,2025-07-09,15.0,,Python Developer,9,6.0
Jason,Long,tfreeman@gmail.com,Colombia,2021-04-24,4.0,Mid-Level,Java Backend,9,5.0
Nathan,Dixon,nguyengary@hotmail.com,Canada,2024-05-23,2.0,Senior,React Frontend,4,7.0
Lisa,Collins,smithjack@gmail.com,Mexico,2023-02-06,99.0,Mid-Level,DevOps,6,3.0
Donald,Turner,emora@gmail.com,Brazil,2021-05-20,18.0,Mid-Level,Java Backend,100,7.0
Tiffany,Kramer,,Spain,2025-11-25,4.0,Trainee,Sales,9,10.0
Holly,Snyder,emcguire@hotmail.com,Australia,2022-05-27,6.0,Senior,DevOps,10,
Debra,Smith,shelleygreer@hotmail.com,UK,2023-01-30,13.0,Intern,Python Developer,5,
Shawn,Mills,kellycoffey@yahoo.com,Germany,2023-11-14,2.0,Senior,Sales,5,0.0
Danny,Krueger,josephsmith@hotmail.com,Brazil,2025-03-22,12.0,Manager,Client Success,10,9.0
Victor,Foley,destiny09@yahoo.com,France,2025-10-27,12.0,Trainee,Sales,1,8.0
Arthur,Winters,craig02@hotmail.com,USA,2023-03-19,99.0,Manager,Adobe Experience Manager,5,7.0
Joshua,Torres,wcardenas@yahoo.com,Ecuador,2023-03-15,1.0,Mid-Level,Java Backend,4,0.0
Patrick,Lloyd,jessicahughes@hotmail.com,Canada,2022-10-08,5.0,Trainee,Sales,10,3.0
Margaret,Johnson,amy93@yahoo.com,Mexico,2023-12-17,7.0,Intern,Sales,5,1.0
Christopher,Christian,wilsondavid@gmail.com,Brazil,2022-08-09,3.0,Trainee,Client Success,3,1.0
Joshua,Walter,hansenkendra@hotmail.com,Ecuador,2024-08-04,11.0,Manager,Client Success,0,6.0
Chelsea,Harris,shawnagomez@gmail.com,India,2023-02-02,,Junior,React Frontend,8,9.0
Tyler,Jackson,michael85@gmail.com,France,2023-02-08,7.0,Junior,Sales,2,4.0
Michelle,Campbell,nicole20@hotmail.com,Argentina,2025-12-28,6.0,Junior,QA Manual,0,10.0
Patrick,Medina,,Germany,2022-10-18,13.0,Senior,DevOps,3,1.0
Bradley,Jordan,paige90@gmail.com,USA,2021-06-19,18.0,Senior,Adobe Experience Manager,6,0.0
Jamie,White,smithkaren@yahoo.com,Colombia,2021-11-14,13.0,Junior,Python Developer,3,0.0
Jack,Porter,,Colombia,2023-07-11,12.0,Senior,Java Backend,10,3.0
Ryan,Sexton,elizabethdavis@gmail.com,Germany,2021-03-21,20.0,Manager,Java Backend,3,3.0
Brett,Faulkner,kristinaellis@hotmail.com,USA,2022-05-24,,Manager,Mulesoft,8,1.0
Kevin,Thomas,xortiz@hotmail.com,Ecuador,2023-07-11,18.0,Intern,QA Manual,10,
Amber,Bryant,uking@yahoo.com,India,2024-12-30,0.0,Senior,Development - CMS Backend,5,3.0
Michael,Ortiz,liudonna@hotmail.com,Canada,2025-12-09,3.0,,Sales,8,7.0
Anthony,Adkins,stephen76@yahoo.com,USA,2024-04-11,9.0,Trainee,Development - CMS Backend,1,5.0
Chelsea,Rogers,karinasantiago@hotmail.com,India,2024-09-22,2.0,,Development - CMS Backend,6,0.0
Patricia,Graham,gflores@yahoo.com,Argentina,2022-05-13,19.0,Senior,DevOps,6,7.0
Sandra,Bryant,troy12@gmail.com,Argentina,2023-06-18,8.0,Senior,Adobe Experience Manager,7,4.0
Rebecca,Cooke,hlang@hotmail.com,Argentina,2024-05-12,2.0,Manager,Data Engineer,9,9.0
Lisa,Brown,drewsmith@yahoo.com,Mexico,2025-12-29,5.0,Intern,Adobe Experience Manager,10,10.0
Brittany,Durham,paulvincent@gmail.com,India,2023-06-27,5.0,Manager,Social Media Community Management,8,5.0
Katherine,Parsons,tsandoval@gmail.com,Australia,2023-04-19,11.0,Trainee,Java Backend,7,6.0
Matthew,Williams,gfoster@gmail.com,Canada,2025-07-12,0.0,Intern,React Frontend,1,
Maria,Freeman,,Mexico,2021-07-11,-5.0,Senior,Client Success,2,5.0
Ryan,Moore,wlowery@hotmail.com,Germany,2025-07-10,4.0,Junior,Python Developer,1,2.0
Ronald,Becker,parsonsdonna@gmail.com,Germany,2021-11-18,8.0,Lead,Adobe Experience Manager,0,9.0
Jessica,Todd,,Australia,2023-01-11,9.0,,Adobe Experience Manager,6,1.0
Jill,Ho,tnelson@hotmail.com,Australia,2025-10-25,12.0,Manager,Client Success,7,1.0
Brian,Wade,kristie67@gmail.com,USA,2021-05-01,14.0,Lead,Mulesoft,4,2.0
Daniel,Gutierrez,jtaylor@hotmail.com,Brazil,2021-05-22,11.0,Mid-Level,Java Backend,9,5.0
Paul,Marquez,coopertina@hotmail.com,Germany,2022-02-08,4.0,Lead,Mulesoft,10,0.0
